Rank,City,2021,JAN(2021),FEB(2021),MAR(2021),APR(2021),MAY(2021),JUN(2021),JUL(2021),AUG(2021),SEP(2021),OCT(2021),NOV(2021),DEC(2021),y2020,y2019,y2018,y2017
28,"Dhaka",78.1,188.6,157.9,118.7,65.1,41,34.5,20.2,27.6,29,56.5,97.5,105.3,77.1,83.3,97.1,79.7
34,"Sreepur",74.8,225,166.5,119.1,86.8,47,32.5,19,29.1,24.4,56.3,108.6,93.3,55.7,-,-,-
126,"Manikganj",46,162.3,110.1,93.8,6.6,3.6,2.3,1.7,2.1,4.1,61.6,89.2,-,80.2,-,-,-
530,"Savar",28.3,117.9,75.6,39.2,18.4,12.7,8.2,4.6,4.5,4.7,12.8,25,-,-,-,-,-
2557,"Comilla",12.1,-,16.4,17.4,12,7.1,8.2,6,6.2,7.6,12.1,17.9,21,-,-,-,-
