Rank,City,y2021,JAN(2021),FEB(2021),MAR(2021),APR(2021),MAY(2021),JUN(2021),JUL(2021),AUG(2021),SEP(2021),OCT(2021),NOV(2021),DEC(2021),y2020,y2019,y2018,y2017
59,"Dushanbe, Tajikistan",59.5,82.1,48,36.9,31.3,41.2,45,64.8,53.6,88.1,70,96.5,62.1,30.9,-,-,-
61,"Khujand, Tajikistan",59,45,52.4,53,39.1,32,26.5,34.8,33.4,37.9,63.3,127.3,145.1,-,-,-,-
