Rank,City,y2021,JAN(2021),FEB(2021),MAR(2021),APR(2021),MAY(2021),JUN(2021),JUL(2021),AUG(2021),SEP(2021),OCT(2021),NOV(2021),DEC(2021),y2020,y2019,y2018,y2017
29,"N'Djamena",77.6,93,198.6,160,103,61.1,40.5,18.3,15.4,21.5,44.6,59.6,146.2,-,-,-,-
1438,"Faya-Largeau",17.1,-,-,-,13.7,7,18.5,13.8,12.4,14.1,17,18.7,33.4,-,-,-,-
