Rank,City,y2021,JAN(2021),FEB(2021),MAR(2021),APR(2021),MAY(2021),JUN(2021),JUL(2021),AUG(2021),SEP(2021),OCT(2021),NOV(2021),DEC(2021),y2020,y2019,y2018,y2017
55,"Osh, Kyrgyzstan",60.9,179.5,142.6,87.9,37.9,18.4,16.5,24.5,25.4,25.7,49,68.9,108.7,-,-,-,-
105,"Bishkek, Kyrgyzstan",48.3,192.5,66,40.6,24.5,15.3,10.2,13.2,16.1,18.3,48.5,75.3,58.3,43.5,33.2,-,-
